Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year,DOI
41,"J Dongdong, N Arunkumar, Z Wenyu, L Beibei…",Semantic clustering fuzzy c means spectral model based comparative analysis of cardiac color ultrasound and electrocardiogram in patients with left …,18,2019, Elsevier, Future Generation …,https://www.sciencedirect.com/science/article/pii/S0167739X18322192,3,10.1016/j.future.2018.10.019
43,"K Raval, R Shukla, AK Shah","Color image segmentation using FCM clustering technique in RGB, L* a* b, HSV, YIQ color spaces",17,2017, researchgate.net, Eur. J. Adv. Eng. Technol,https://www.researchgate.net/profile/Ankit-Shah-10/publication/316961754_Color_Image_Segmentation_using_FCM_Clustering_Technique_in_RGB_Lab_HSV_YIQ_Color_spaces/links/591a8c8f4585159b1a4bca32/Color-Image-Segmentation-using-FCM-Clustering-Technique-in-RGB-Lab-HSV-YIQ-Color-spaces.pdf,2,10.1109/icaee.2014.6838440
84,"C Correa Farias, C Valero Ubierna, P Barreiro Elorza",Characterization of vineyard's canopy through fuzzy clustering and svm over color images,17,2012, oa.upm.es,,https://oa.upm.es/id/eprint/13687,1,10.17660/actahortic.2024.1395.16
27,"R Sammouda, H Aboalsamh…",Comparison between K mean and fuzzy C-mean methods for segmentation of near infrared fluorescent image for diagnosing prostate cancer,17,2015, ieeexplore.ieee.org, … Conference on Computer …,https://ieeexplore.ieee.org/abstract/document/7351905/,2,10.1109/iccvia.2015.7351905
7,"K Muthukannan, MM Moses",Color image segmentation using k-means clustering and optimal fuzzy C-means clustering,16,2010, ieeexplore.ieee.org, 2010 International Conference on …,https://ieeexplore.ieee.org/abstract/document/5738735/,1,10.1109/csnt.2015.200
9,"F Garcia-Lamont, J Cervantes, A López-Chau…",Automatic computing of number of clusters for color image segmentation employing fuzzy c-means by extracting chromaticity features of colors,15,2020, Springer, Pattern Analysis and …,https://link.springer.com/article/10.1007/s10044-018-0729-9,2,10.1007/s10044-018-0729-9
54,"A Mohanty, S Rajkumar, ZM Mir…",Analysis of color images using cluster based segmentation techniques,15,2013, researchgate.net, International Journal of …,https://www.researchgate.net/profile/Rajkumar-Soundrapandiyan-2/publication/269908112_Analysis_of_Color_Images_using_Cluster_based_Segmentation_Techniques/links/54f5133b0cf2ba6150649154/Analysis-of-Color-Images-using-Cluster-based-Segmentation-Techniques.pdf,1,10.5120/13716-1487
42,"S Jayalakshmi, M Sundaresan",A study of Iris segmentation methods using fuzzy C-means and K-means clustering algorithm,14,2014, Citeseer, International Journal of Computer …,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=6d406c5117e680133345e91de4b033dfb4b0973b,1,10.5120/14882-3316
96,"R Shanker, M Bhattacharya",Brain tumor segmentation of normal and pathological tissues using K-mean clustering with fuzzy C-mean clustering,14,2017, Springer, European congress on computational …,https://link.springer.com/chapter/10.1007/978-3-319-68195-5_31,2,10.1007/978-3-319-68195-5_31
55,"EMS Rochman, H Suprajitno",Comparison of clustering in tuberculosis using fuzzy c-means and k-means methods,13,2022, scik.org, Commun. Math. Biol. Neurosci.,https://scik.org/index.php/cmbn/article/view/7335,3,10.28919/cmbn/7335
89,"YP Wang, AK Dandpat",Classification of M-FISH images using fuzzy C-means clustering algorithm and normalization approaches,13,2004, ieeexplore.ieee.org,Eighth Asilomar …,https://ieeexplore.ieee.org/abstract/document/1399083/,1,10.1109/acssc.2004.1399083
86,"AS Abdul-Nasir, MY Mashor, NHA Halim…",The cascaded moving k-means and fuzzy c-means clustering algorithms for unsupervised segmentation of malaria images,13,2015, pubs.aip.org, AIP Conference …,https://pubs.aip.org/aip/acp/article-abstract/1660/1/070111/1021071,1,10.1063/1.4915828
94,"MY Choong, L Angeline, RKY Chin…",Modeling of vehicle trajectory using K-means and fuzzy C-means clustering,12,2018, ieeexplore.ieee.org, … in Engineering and …,https://ieeexplore.ieee.org/abstract/document/8638471/,2,10.1109/iicaiet.2018.8638471
87,"A Halder, A Dasgupta",Color image segmentation using rough set based K-means algorithm,12,2012, Citeseer, International Journal of Computer Applications,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=fe5425ab00cec1d3835e96a674606e93ba7cf022,1,10.1145/2381716.2381728
88,"BK Chakraborty, MK Bhuyan",Skin segmentation using possibilistic fuzzy c-means clustering in presence of skin-colored background,11,2015, ieeexplore.ieee.org, 2015 IEEE Recent Advances in …,https://ieeexplore.ieee.org/abstract/document/7488422/,1,10.1109/raics.2015.7488422
46,"A Sathish, JM Sundaram",Could not catch title,11,0," International Journal of Computational Intelligence and …, 2014",A Sathish,"Look manually at: https://scholar.google.com/scholar?start=40&q=Fuzzy+C-means+vs.+K-means+in+color+clustering&hl=en&as_sdt=0,5&as_ylo=2000",0,10.7748/ns.16.31.23.s39
57,"S Akimoto, T Takahashi, M Suzuki, Y Arai…",Human Detection by Fourier descriptors and Fuzzy Color Histograms with Fuzzy c-means method,11,2016, jstage.jst.go.jp, Journal of robotics and …,https://www.jstage.jst.go.jp/article/jrobomech/28/4/28_491/_article/-char/ja/,1,10.20965/jrm.2016.p0491
12,"N Sabri, Z Ibrahim, NN Rosman",K-means vs. fuzzy C-means for segmentation of orchid flowers,11,2016, ieeexplore.ieee.org, 2016 7th IEEE Control and …,https://ieeexplore.ieee.org/abstract/document/7813306/,1,10.1109/icsgrc.2016.7813306
28,"ME Celebi, Q Wen, J Chen",Color quantization using c-means clustering algorithms,11,2011, ieeexplore.ieee.org, 2011 18th IEEE International …,https://ieeexplore.ieee.org/abstract/document/6115792/,1,10.1109/icip.2011.6115792
26,"R Mandal, M Gupta, C Kar",Automated ROI detection for histological image using fuzzy c-means and K-means algorithm,11,2016, ieeexplore.ieee.org, 2016 International Conference on …,https://ieeexplore.ieee.org/abstract/document/7754869/,1,10.1109/iceeot.2016.7754869
74,"RK Priya, C Thangaraj, C Kesavadas…",Fuzzy c-means method for colour image segmentation with l* u* v* colour transformation,11,2011, Citeseer, IJSI International Journal …,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=2dbdd7fd89af0de2f6843d585257886123a9293b#page=130,1,10.18000/ijies.30099
32,"PK Jena, S Chattopadhyay",Comparative study of fuzzy k-nearest neighbor and fuzzy c-means algorithms,11,2012, academia.edu, International Journal of Computer …,https://www.academia.edu/download/68586457/pxc3883294.pdf,1,10.1016/j.fss.2007.04.023
45,T Chaira,A novel intuitionistic fuzzy c means color clustering on human cell images,10,2009, ieeexplore.ieee.org, 2009 World Congress on Nature & Biologically …,https://ieeexplore.ieee.org/abstract/document/5393559/,1,10.1109/nabic.2009.5393559
60,"HC Xu, R Hou, L Liu, JY Cai…",The image segmentation algorithm of colorimetric sensor array based on fuzzy C-means clustering,10,2020, content.iospress.com, … of Intelligent & Fuzzy …,https://content.iospress.com/articles/journal-of-intelligent-and-fuzzy-systems/ifs179583,2,10.1155/2022/8333054
11,VRP Borges,Comparação entre as técnicas de agrupamento K-Means e Fuzzy C-Means para Segmentação de Imagens Coloridas,10,2010, enacomp.com.br, VIII Encontro Anual de Computação Out,https://www.enacomp.com.br/2010/anais/artigos/completos/enacomp2010_42.pdf,1,10.15392/bjrs.v3i1a.165
85,"SD Sable, A Deshmukh",Implementation and analysis of k-means and fuzzy c-means clustering techniques,7,2015, digitalxplore.org, International Journal of Industrial …,https://www.digitalxplore.org/up_proc/pdf/145-143140858966-69.pdf,1,10.1109/msmw.2010.5546009
52,"M Vélez-Falconí, J Marín, S Jiménez…",Comparative Study of Distance Measures for the Fuzzy C-means and K-means Non-Supervised Methods Applied to Image Segmentation.,6,2020, academia.edu, ICAI …,https://www.academia.edu/download/112480644/icaiw_waai_1.pdf,1,10.1007/978-3-030-60887-3_31
61,"EV Reddy, ES Reddy",Could not catch title,6,0," Council for Innovative Research, IJCT, 2013",EV Reddy,"Look manually at: https://scholar.google.com/scholar?start=60&q=Fuzzy+C-means+vs.+K-means+in+color+clustering&hl=en&as_sdt=0,5&as_ylo=2000",0,10.7748/ns.16.31.23.s39
99,"K Yunus, T Ölmez",Improved fuzzy c-means and k-means algorithms for texture and boundary segmentation,5,2018, ieeexplore.ieee.org, 2018 6th International Conference on …,https://ieeexplore.ieee.org/abstract/document/8751905/,1,10.1109/ceit.2018.8751905
77,MF Wang,The application of fuzzy C-means on cultural and creative products,5,2017, ieeexplore.ieee.org, 2017 IEEE 21st International Conference on …,https://ieeexplore.ieee.org/abstract/document/8066741/,1,10.1109/cscwd.2017.8066741
33,"AW Setiawan, AB Suksmono…",A comparative study of colour retinal image coding using vector quantization: K-means & fuzzy c-means,5,2009, ieeexplore.ieee.org, … Conference on Electrical …,https://ieeexplore.ieee.org/abstract/document/5254807/,0,Not Found
68,"A Kumar, SS Sodhi",Comparative Analysis of Fuzzy C-Means and K-Means Clustering in the Case of Image Segmentation,3,2021, ieeexplore.ieee.org, 2021 8th International Conference on …,https://ieeexplore.ieee.org/abstract/document/9441121/,1,10.1109/msmw.2010.5546009
59,"P Rosyani, A Suhendi, DH Apriyanti…",Color Features Based Flower Image Segmentation Using K-Means and Fuzzy C-Means,3,2021, academia.edu, Building of Informatics …,https://www.academia.edu/download/103629364/731.pdf,1,10.47065/bits.v3i3.1060
24,"X Cai, X Yang, C Wu",Multi-view fuzzy C-means clustering with kernel metric and local information for color image segmentation,2,2024, emerald.com, Engineering Computations,https://www.emerald.com/insight/content/doi/10.1108/EC-08-2023-0403/full/html,1,10.1108/ec-08-2023-0403
90,"R Jain, D Saini, A Singal…",Detection of dental Fluorosis using enhanced K-means and Fuzzy C means,2,2021, ieeexplore.ieee.org, 2021 Third International …,https://ieeexplore.ieee.org/abstract/document/9544836/,0,10.1109/icirca51532.2021.9544836
36,"ZR Hussein, AI Mahameed…",Distinguishing of Different Tissue Types Using K-Means Clustering of Color Segmentation,2,2021, papers.ssrn.com,European Journal …,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3957543,0,10.15587/1729-4061.2021.242491
