Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year,DOI
11,"D Tsolakis, GE Tsekouras, J Tsimikas",Fuzzy vector quantization for image compression based on competitive agglomeration and a novel codeword migration strategy,29,2012, Elsevier, Engineering applications of artificial …,https://www.sciencedirect.com/science/article/pii/S0952197611001679,2,10.1016/j.engappai.2011.09.014
53,"EJ Palomo, E Domínguez",Hierarchical color quantization based on self-organization,28,2014, Springer, Journal of mathematical imaging and vision,https://link.springer.com/article/10.1007/s10851-013-0433-8,2,10.1007/s10851-013-0433-8
69,"XD Yue, DQ Miao, LB Cao, Q Wu, YF Chen",An efficient color quantization based on generic roughness measure,28,2014, Elsevier, Pattern Recognition,https://www.sciencedirect.com/science/article/pii/S0031320313005037,2,10.1016/j.patcog.2013.11.017
93,"N Kim, N Kehtarnavaz",DWT-based scene-adaptive color quantization,26,2005, Elsevier,Time Imaging,https://www.sciencedirect.com/science/article/pii/S1077201405000446,1,10.1016/j.rti.2005.06.003
40,"D Yazdani, H Nabizadeh…",Color quantization using modified artificial fish swarm algorithm,26,2011, Springer, AI 2011: Advances in …,https://link.springer.com/chapter/10.1007/978-3-642-25832-9_39,2,10.1007/978-3-642-25832-9_39
1,"Z Liu, F Ding, Y Xu, X Han",Background dominant colors extraction method based on color image quick fuzzy c-means clustering algorithm,24,2021, Elsevier, Defence Technology,https://www.sciencedirect.com/science/article/pii/S2214914720304608,5,10.1016/j.dt.2020.10.002
39,"L Szilágyi, G Dénesi, SM Szilágyi",Fast color reduction using approximative c-means clustering models,23,2014, ieeexplore.ieee.org,IEEE …,https://ieeexplore.ieee.org/abstract/document/6891638/,2,10.1109/fuzz-ieee.2014.6891638
91,KK Bhoyar,Color Image Segmentation using Fast Fuzzy C-Means Algorithm,22,2010, elcvia.cvc.uab.es, ELCVIA Electronic Letters on Computer Vision and …,https://elcvia.cvc.uab.es/article/view/361,1,10.5565/rev/elcvia.361
16,"F Chung, BYM Fung",Fuzzy color quantization and its application to scene change detection,21,2003, dl.acm.org, Proceedings of the 5th ACM SIGMM international …,https://dl.acm.org/doi/abs/10.1145/973264.973290,1,10.1145/973264.973290
41,ML Pérez-Delgado,Color quantization with particle swarm optimization and artificial ants,20,2020, Springer, Soft Computing,https://link.springer.com/article/10.1007/s00500-019-04216-8,3,10.1007/s00500-019-04216-8
65,"WS Ooi, CP Lim",Fuzzy clustering of color and texture features for image segmentation: a study on satellite image retrieval,19,2006, content.iospress.com, Journal of Intelligent & Fuzzy Systems,https://content.iospress.com/articles/journal-of-intelligent-and-fuzzy-systems/ifs00299,1,10.4028/www.scientific.net/amm.441.707
7,"A Khaled, RF Abdel-Kader…",A hybrid color image quantization algorithm based on k-means and harmony search algorithms,19,2016, Taylor & Francis, Applied Artificial …,https://www.tandfonline.com/doi/abs/10.1080/08839514.2016.1169049,2,10.1080/08839514.2016.1169049
24,"L Szilágyi, G Dénesi, L Kovács…",Comparison of Various Improved-Partition Fuzzy c-Means Clustering Algorithms in Fast Color Reduction,19,2014, ieeexplore.ieee.org, 2014 IEEE 12th …,https://ieeexplore.ieee.org/abstract/document/6923585/,2,10.1109/sisy.2014.6923585
94,"X Yang, H Ren, B Li",Embedded zerotree wavelets coding based on adaptive fuzzy clustering for image compression,19,2008, Elsevier, Image and Vision Computing,https://www.sciencedirect.com/science/article/pii/S0262885607001540,1,10.1016/j.imavis.2007.08.019
50,"G Ramella, G SANNITI DI BAJA",A new technique for color quantization based on histogram analysis and clustering,19,2013, World Scientific, International Journal of Pattern …,https://www.worldscientific.com/doi/abs/10.1142/S0218001413600069,1,10.1142/s0218001413600069
62,"K Deshmukh, G Shinde",Adaptive Color Image Segmentation Using Fuzzy Min-Max Clustering.,18,2006, Citeseer, Engineering letters,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=1f033ab8dbe95a3622c783878a7121b383ac17be,1,10.1109/ijcnn.2005.1556412
70,"K Kanjanawanishkul, B Uyyanonvara",Fast Adaptive Algorithm for Time-Critical Color Quantization Application.,18,2003, researchgate.net, DICTA,https://www.researchgate.net/profile/Bunyarit-Uyyanonvara/publication/221210076_Fast_Adaptive_Algorithm_for_Time-Critical_Color_Quantization_Application/links/09e4150ffa9285646d000000/Fast-Adaptive-Algorithm-for-Time-Critical-Color-Quantization-Application.pdf,1,10.1016/s0167-8655(99)00165-8
92,"S Makrogiannis, G Economou, S Fotopoulos",Region oriented compression of color images using fuzzy inference and fast merging,18,2002, Elsevier, Pattern Recognition,https://www.sciencedirect.com/science/article/pii/S0031320301001303,1,10.1016/s0031-3203(01)00130-3
81,"M Frackiewicz, H Palus",KM and KHM clustering techniques for colour image quantisation,17,2011, Springer, … vision and medical image processing: recent …,https://link.springer.com/chapter/10.1007/978-94-007-0011-6_9,1,10.1007/978-94-007-0011-6_9
25,"CY Lin, CH Chen",An invisible hybrid color image system using spread vector quantization neural networks with penalized FCM,17,2007, Elsevier, Pattern Recognition,https://www.sciencedirect.com/science/article/pii/S0031320306004778,1,10.1016/j.patcog.2006.11.004
74,"L Zhao, Z Wang, Y Zuo, D Hu",Comprehensive evaluation method of ethnic costume color based on K-means clustering method,17,2021, mdpi.com, Symmetry,https://www.mdpi.com/2073-8994/13/10/1822,3,10.3390/sym13101822
56,"SG Kandi, MA Tehran, M Rahmati",New method for obtaining proper initial clusters to perform FCM algorithm for colour image clustering,16,2009, Taylor & Francis, The Journal of The Textile …,https://www.tandfonline.com/doi/abs/10.1080/00405000701757545,1,10.1080/00405000701757545
98,"SS Park, KK Seo, DS Jang",Fuzzy art-based image clustering method for content-based image retrieval,15,2007, World Scientific, International Journal of Information …,https://www.worldscientific.com/doi/abs/10.1142/S0219622007002496,1,10.1142/s0219622007002496
83,"M Lei, Y Zhou, Q Luo",Color image quantization using flower pollination algorithm,15,2020, Springer, Multimedia Tools and Applications,https://link.springer.com/article/10.1007/s11042-020-09680-1,2,10.1007/s11042-020-09680-1
